ComID,CodRIP,CodREG,CodPROV,CodCOM,CodUTS,Name,Area (m2),UTM X (m E),UTM Y (m N),Lat (Deg N),Lon (Deg E),EOBS Points
1311,1,7,9,9,9031,Giustenice,1.69E+07,437815.4902,4.89E+06,44.18162559,8.222005142,4
1312,1,7,9,9,9032,Giusvalla,1.99E+07,451581.9833,4.92E+06,44.45040085,8.391467021,4
1313,1,7,9,9,9033,Laigueglia,2.83E+06,432387.9081,4.87E+06,43.97768924,8.1570012,4
1314,1,7,9,9,9034,Loano,1.40E+07,438676.8924,4.89E+06,44.14848936,8.233211567,4
1315,1,7,9,9,9035,Magliolo,1.95E+07,437387.9423,4.90E+06,44.20979222,8.216282821,4
1316,1,7,9,9,9036,Mallare,3.20E+07,443777.1747,4.90E+06,44.29253335,8.295269542,4
1317,1,7,9,9,9037,Massimino,8.10E+06,426697.9565,4.91E+06,44.29564248,8.081140369,4
1318,1,7,9,9,9038,Millesimo,1.57E+07,436620.2287,4.91E+06,44.34640344,8.204832975,4
1319,1,7,9,9,9039,Mioglia,1.91E+07,454110.8929,4.93E+06,44.48666813,8.422893875,4
1320,1,7,9,9,9040,Murialdo,3.90E+07,431809.0567,4.91E+06,44.30470329,8.14507769,4
1321,1,7,9,9,9041,Nasino,2.22E+07,421757.129,4.89E+06,44.12889368,8.021969786,4
1322,1,7,9,9,9042,Noli,8.97E+06,451982.4707,4.90E+06,44.20949214,8.398965837,4
1323,1,7,9,9,9043,Onzo,7.90E+06,423689.34,4.88E+06,44.07675039,8.046960334,4
1324,1,7,9,9,9044,Orco Feglino,1.76E+07,446084.9968,4.90E+06,44.23427821,8.324864196,4
1325,1,7,9,9,9045,Ortovero,1.01E+07,426917.9761,4.88E+06,44.05788649,8.087572319,4
1326,1,7,9,9,9046,Osiglia,2.82E+07,435837.3015,4.90E+06,44.28349918,8.195869864,4
1327,1,7,9,9,9047,Pallare,2.12E+07,440655.7948,4.91E+06,44.32229265,8.255768412,4
1328,1,7,9,9,9048,Piana Crixia,3.02E+07,442179.6564,4.93E+06,44.49434199,8.272750204,4
1329,1,7,9,9,9049,Pietra Ligure,9.10E+06,440701.152,4.89E+06,44.15866412,8.258395589,4
1330,1,7,9,9,9050,Plodio,8.61E+06,440067.0116,4.91E+06,44.35184749,8.248006883,4
1331,1,7,9,9,9051,Pontinvrea,2.50E+07,455308.7736,4.92E+06,44.43153129,8.438487236,4
1332,1,7,9,9,9052,Quiliano,4.89E+07,450131.3152,4.90E+06,44.29552049,8.374884355,4
1333,1,7,9,9,9053,Rialto,1.98E+07,440507.3633,4.90E+06,44.22789351,8.255100459,4
1334,1,7,9,9,9054,Roccavignale,1.77E+07,433441.0572,4.91E+06,44.35190054,8.164868878,4
1335,1,7,9,9,9055,Sassello,1.01E+08,462760.6162,4.92E+06,44.46880619,8.531816485,5
1336,1,7,9,9,9056,Savona,6.59E+07,454032.4262,4.91E+06,44.33583354,8.423391012,4
1337,1,7,9,9,9057,Spotorno,8.25E+06,452424.4683,4.90E+06,44.23348095,8.404256441,4
1338,1,7,9,9,9058,Stella,4.36E+07,459957.6641,4.92E+06,44.40201266,8.497150177,4
1339,1,7,9,9,9059,Stellanello,1.78E+07,424304.7654,4.87E+06,43.99715948,8.055910979,4
1340,1,7,9,9,9060,Testico,1.06E+07,421451.5048,4.87E+06,44.00837945,8.020139885,4
1341,1,7,9,9,9061,Toirano,1.92E+07,434569.5801,4.89E+06,44.1427255,8.181933164,4
1342,1,7,9,9,9062,Tovo San Giacomo,9.90E+06,441678.0519,4.89E+06,44.1821412,8.270323487,4
1343,1,7,9,9,9063,Urbe,3.06E+07,469963.6055,4.93E+06,44.48224339,8.622287699,4
1344,1,7,9,9,9064,Vado Ligure,2.40E+07,451682.3465,4.90E+06,44.25790087,8.394713194,4
1345,1,7,9,9,9065,Varazze,4.80E+07,465587.282,4.92E+06,44.39356998,8.567908766,4
1346,1,7,9,9,9066,Vendone,9.70E+06,425618.5998,4.88E+06,44.08358795,8.070947683,4
1347,1,7,9,9,9067,Vezzi Portio,9.13E+06,448803.6467,4.90E+06,44.23153864,8.358937441,4
1348,1,7,9,9,9068,Villanova d'Albenga,1.60E+07,430045.4976,4.88E+06,44.04212815,8.126850813,4
1349,1,7,9,9,9069,Zuccarello,1.08E+07,429793.9566,4.88E+06,44.10875029,8.122727397,4
1350,1,7,10,210,10001,Arenzano,2.41E+07,473467.0589,4.92E+06,44.4213624,8.666690603,4
1351,1,7,10,210,10002,Avegno,1.12E+07,512687.0867,4.92E+06,44.39217333,9.1592972,4
1352,1,7,10,210,10003,Bargagli,1.69E+07,506885.6881,4.92E+06,44.43461314,9.08651824,4
1353,1,7,10,210,10004,Bogliasco,4.47E+06,506147.4976,4.92E+06,44.38976811,9.077183919,4
1354,1,7,10,210,10005,Borzonasca,8.08E+07,531640.9689,4.92E+06,44.44659256,9.397647976,6
1355,1,7,10,210,10006,Busalla,1.68E+07,497616.8286,4.94E+06,44.58393329,8.969979052,4
1356,1,7,10,210,10007,Camogli,1.03E+07,513357.0461,4.91E+06,44.33536464,9.167547116,4
1357,1,7,10,210,10008,Campo Ligure,2.38E+07,477060.7186,4.93E+06,44.5330023,8.711284523,4
1358,1,7,10,210,10009,Campomorone,2.60E+07,489098.8668,4.93E+06,44.53745361,8.862787078,4
1359,1,7,10,210,10010,Carasco,8.01E+06,528524.0761,4.91E+06,44.3567463,9.357928215,4
1360,1,7,10,210,10011,Casarza Ligure,2.79E+07,537918.0236,4.90E+06,44.29198196,9.475282871,4
1361,1,7,10,210,10012,Casella,8.07E+06,499692.2417,4.93E+06,44.53321226,8.996126517,4
1362,1,7,10,210,10013,Castiglione Chiavarese,2.96E+07,541882.4896,4.90E+06,44.27567355,9.524830154,4
1363,1,7,10,210,10014,Ceranesi,3.07E+07,487403.4295,4.93E+06,44.50558128,8.841532973,4
1364,1,7,10,210,10015,Chiavari,1.22E+07,525285.2628,4.91E+06,44.32914413,9.317137836,4
1365,1,7,10,210,10016,Cicagna,1.10E+07,518330.9968,4.92E+06,44.40612958,9.230216018,4
1366,1,7,10,210,10017,Cogoleto,2.05E+07,469917.5471,4.92E+06,44.40821375,8.622185973,4
1367,1,7,10,210,10018,Cogorno,9.52E+06,529552.3213,4.91E+06,44.33114517,9.370669568,4
1368,1,7,10,210,10019,Coreglia Ligure,7.92E+06,520786.0257,4.91E+06,44.38323801,9.260946576,4
1369,1,7,10,210,10020,Crocefieschi,1.16E+07,501973.7358,4.94E+06,44.58511539,9.024863769,4
1370,1,7,10,210,10021,Davagna,2.06E+07,506106.9259,4.92E+06,44.46463204,9.076772455,4
1371,1,7,10,210,10022,Fascia,1.11E+07,518495.7454,4.94E+06,44.56946265,9.232934196,4
1372,1,7,10,210,10023,Favale di Malvaro,1.67E+07,520608.5073,4.92E+06,44.45907201,9.259052666,4
1373,1,7,10,210,10024,Fontanigorda,1.62E+07,523381.7049,4.93E+06,44.5311476,9.294274511,4
1374,1,7,10,210,10025,Genova,2.39E+08,491458.5153,4.92E+06,44.44153383,8.89266411,10
1375,1,7,10,210,10026,Gorreto,1.91E+07,519135.1271,4.94E+06,44.59871547,9.241107408,4
1376,1,7,10,210,10027,Isola del Cantone,4.77E+07,497079.1703,4.94E+06,44.64546605,8.963167264,4
1377,1,7,10,210,10028,Lavagna,1.38E+07,529921.0764,4.91E+06,44.30605711,9.375134913,4
1378,1,7,10,210,10029,Leivi,9.77E+06,525227.6002,4.91E+06,44.34938509,9.316523485,4
1379,1,7,10,210,10030,Lorsica,1.75E+07,520662.8058,4.92E+06,44.45336353,9.259709905,4
1380,1,7,10,210,10031,Lumarzo,2.55E+07,510621.8302,4.92E+06,44.4493277,9.133496134,4
1381,1,7,10,210,10032,Masone,2.97E+07,477864.7868,4.93E+06,44.50192502,8.721552623,4
1382,1,7,10,210,10033,Mele,1.69E+07,479845.8627,4.92E+06,44.47101358,8.746607193,4
1383,1,7,10,210,10034,Mezzanego,2.89E+07,532086.793,4.92E+06,44.39069348,9.40286685,4
1384,1,7,10,210,10035,Mignanego,1.59E+07,493668.8507,4.93E+06,44.5442028,8.920300408,4
1385,1,7,10,210,10036,Moconesi,1.70E+07,517226.6684,4.92E+06,44.44473579,9.216489377,4
1386,1,7,10,210,10037,Moneglia,1.61E+07,539883.2341,4.90E+06,44.24242677,9.499495915,4
1387,1,7,10,210,10038,Montebruno,1.75E+07,519866.9549,4.93E+06,44.51725531,9.249979602,4
1388,1,7,10,210,10039,Montoggio,4.78E+07,504051.6553,4.93E+06,44.50820305,9.050972808,4
1389,1,7,10,210,10040,Ne,6.34E+07,535547.516,4.91E+06,44.35293806,9.446031408,4
1390,1,7,10,210,10041,Neirone,3.04E+07,515115.7059,4.92E+06,44.46639429,9.190030917,4
1391,1,7,10,210,10042,Orero,1.58E+07,522744.8774,4.92E+06,44.41652134,9.285699805,4
1392,1,7,10,210,10043,Pieve Ligure,3.91E+06,507346.8508,4.91E+06,44.38351695,9.092232389,4
1393,1,7,10,210,10044,Portofino,2.65E+06,515817.7067,4.91E+06,44.30946706,9.198325698,4
1394,1,7,10,210,10045,Propata,1.71E+07,514260.814,4.93E+06,44.56720483,9.179592805,4
1395,1,7,10,210,10046,Rapallo,3.37E+07,517239.7745,4.91E+06,44.3683311,9.216372248,4
1396,1,7,10,210,10047,Recco,9.54E+06,511821.0368,4.91E+06,44.36962103,9.14836624,4
1397,1,7,10,210,10048,Rezzoaglio,1.05E+08,528570.4961,4.93E+06,44.51375702,9.359471975,4
1398,1,7,10,210,10049,Ronco Scrivia,3.01E+07,495633.768,4.94E+06,44.60587618,8.944977619,4
1399,1,7,10,210,10050,Rondanina,1.27E+07,517417.701,4.93E+06,44.55043831,9.219285907,4
1400,1,7,10,210,10051,Rossiglione,4.75E+07,473257.2441,4.93E+06,44.55632228,8.663279321,4
1401,1,7,10,210,10052,Rovegno,4.44E+07,524659.4031,4.93E+06,44.56739809,9.310547896,4
1402,1,7,10,210,10053,San Colombano Certenoli,4.13E+07,525644.0622,4.92E+06,44.39359148,9.32199083,4
1403,1,7,10,210,10054,Santa Margherita Ligure,1.04E+07,515673.9583,4.91E+06,44.32978799,9.196591193,4
1404,1,7,10,210,10055,Sant'Olcese,2.23E+07,496833.1037,4.93E+06,44.48216852,8.960175835,4
1405,1,7,10,210,10056,Santo Stefano d'Aveto,5.44E+07,536500.403,4.93E+06,44.52696639,9.459349249,4
1406,1,7,10,210,10057,Savignone,2.16E+07,499160.0152,4.93E+06,44.55718735,8.989423511,4
1407,1,7,10,210,10058,Serra Riccò,2.66E+07,495709.7724,4.93E+06,44.51417428,8.946020266,4
1408,1,7,10,210,10059,Sestri Levante,3.32E+07,534255.0998,4.90E+06,44.28732918,9.429336138,4
1409,1,7,10,210,10060,Sori,1.26E+07,509030.4131,4.92E+06,44.39287325,9.113385896,4
1410,1,7,10,210,10061,Tiglieto,2.49E+07,469887.5342,4.93E+06,44.51346276,8.621128982,4
1411,1,7,10,210,10062,Torriglia,5.99E+07,512133.9508,4.93E+06,44.516582,9.152675908,4
1412,1,7,10,210,10063,Tribogna,6.77E+06,514795.0025,4.92E+06,44.41712226,9.185842851,4
1413,1,7,10,210,10064,Uscio,9.09E+06,512474.6228,4.92E+06,44.41569919,9.15669232,4
1414,1,7,10,210,10065,Valbrevenna,3.46E+07,506850.4626,4.93E+06,44.55711989,9.086256037,4
1415,1,7,10,210,10066,Vobbia,3.42E+07,504899.24,4.94E+06,44.60156713,9.061734677,4
1416,1,7,10,210,10067,Zoagli,7.64E+06,521356.5197,4.91E+06,44.34669177,9.267941885,4
1417,1,7,11,11,11001,Ameglia,1.41E+07,577701.2195,4.88E+06,44.05816916,9.970102681,4
1418,1,7,11,11,11002,Arcola,1.66E+07,573217.9274,4.88E+06,44.1096207,9.914921481,4
1419,1,7,11,11,11003,Beverino,3.48E+07,561904.8284,4.89E+06,44.19399943,9.774657802,4
1420,1,7,11,11,11004,Bolano,1.49E+07,571484.6091,4.89E+06,44.18660948,9.894424157,4
1421,1,7,11,11,11005,Bonassola,9.56E+06,546779.796,4.89E+06,44.19236151,9.585371857,4
1422,1,7,11,11,11006,Borghetto di Vara,2.69E+07,555521.1159,4.90E+06,44.21889066,9.695066779,4
1423,1,7,11,11,11007,Brugnato,1.18E+07,558468.1505,4.90E+06,44.23791213,9.732196317,4
1424,1,7,11,11,11008,Calice al Cornoviglio,3.36E+07,566808.6487,4.90E+06,44.23759077,9.836639577,4
1425,1,7,11,11,11009,Carro,3.13E+07,548611.8619,4.90E+06,44.27839948,9.60918411,4
1426,1,7,11,11,11010,Carrodano,2.17E+07,550923.0516,4.90E+06,44.24408967,9.637775939,4
1427,1,7,11,11,11011,Castelnuovo Magra,1.52E+07,581428.1462,4.88E+06,44.09507005,10.01726539,4
1428,1,7,11,11,11012,Deiva Marina,1.36E+07,544005.4948,4.90E+06,44.23959598,9.551096463,4
1429,1,7,11,11,11013,Follo,2.33E+07,566943.7521,4.89E+06,44.17156234,9.837395516,4
1430,1,7,11,11,11014,Framura,1.96E+07,545619.2734,4.90E+06,44.2199128,9.571115995,4
1431,1,7,11,11,11015,La Spezia,5.11E+07,565690.0268,4.88E+06,44.10991854,9.820858182,4
1432,1,7,11,11,11016,Lerici,1.62E+07,574122.7472,4.88E+06,44.07875968,9.925746353,4
1433,1,7,11,11,11017,Levanto,3.67E+07,550589.0903,4.89E+06,44.18757503,9.632987595,4
1434,1,7,11,11,11018,Maissana,4.61E+07,543800.9489,4.91E+06,44.33110404,9.549387098,4
1435,1,7,11,11,11019,Monterosso al Mare,1.09E+07,552816.7512,4.89E+06,44.1590878,9.66054273,4
1436,1,7,11,11,11020,Luni,1.39E+07,583334.7466,4.88E+06,44.08304732,10.04087319,4
1437,1,7,11,11,11021,Pignone,1.85E+07,556408.5767,4.89E+06,44.18358047,9.705755183,4
1438,1,7,11,11,11022,Portovenere,7.47E+06,566585.3421,4.88E+06,44.05970158,9.831342337,4
1439,1,7,11,11,11023,Riccò del Golfo di Spezia,3.76E+07,561181.2588,4.89E+06,44.14794354,9.765007699,4
1440,1,7,11,11,11024,Riomaggiore,9.93E+06,559610.4459,4.88E+06,44.10758612,9.744859,4
1441,1,7,11,11,11025,Rocchetta di Vara,3.31E+07,562390.1494,4.90E+06,44.25336932,9.781516038,4
1442,1,7,11,11,11026,Santo Stefano di Magra,1.43E+07,574353.5572,4.89E+06,44.15319581,9.92979557,4
1443,1,7,11,11,11027,Sarzana,3.40E+07,577731.1118,4.88E+06,44.11058673,9.971333283,4
1444,1,7,11,11,11028,Sesta Godano,6.92E+07,554745.4041,4.91E+06,44.30841382,9.686396604,4
1445,1,7,11,11,11029,Varese Ligure,1.37E+08,546495.8807,4.91E+06,44.37805918,9.583654981,5
1446,1,7,11,11,11030,Vernazza,1.24E+07,555912.5704,4.89E+06,44.14071289,9.69904303,4
1447,1,7,11,11,11031,Vezzano Ligure,1.78E+07,570751.9131,4.89E+06,44.14285932,9.884602515,4
1448,1,7,11,11,11032,Zignago,2.80E+07,559245.5066,4.90E+06,44.28913033,9.742575614,4
1449,1,3,12,12,12001,Agra,2.94E+06,481788.0043,5.10E+06,46.03617779,8.764647633,4
1450,1,3,12,12,12002,Albizzate,3.81E+06,484430.3637,5.06E+06,45.72593622,8.799911416,4
1451,1,3,12,12,12003,Angera,1.75E+07,468432.2337,5.07E+06,45.77570067,8.593955411,4
1452,1,3,12,12,12004,Arcisate,1.23E+07,489973.4105,5.08E+06,45.85466407,8.870849281,4
1453,1,3,12,12,12005,Arsago Seprio,1.05E+07,479347.1464,5.06E+06,45.69644069,8.734725514,4
1454,1,3,12,12,12006,Azzate,4.54E+06,483751.7652,5.07E+06,45.77915139,8.790992062,4
1455,1,3,12,12,12007,Azzio,2.17E+06,477274.8502,5.08E+06,45.88828196,8.707104816,4
1456,1,3,12,12,12008,Barasso,3.87E+06,481202.0547,5.08E+06,45.84986462,8.757887816,4
1457,1,3,12,12,12009,Bardello,2.58E+06,476367.6424,5.08E+06,45.83332343,8.695712133,4
1458,1,3,12,12,12010,Bedero Valcuvia,2.87E+06,484341.4875,5.08E+06,45.91146894,8.798099813,4
